IBOrderID,qty,pnl,basis,netcash,date
628415640,-200,503.958,-4187.0044,4690.9624,2025-08-26;140053
628415654,-500,34.895,-1452.511,1487.406,2025-08-26;140102
628415663,-24,-68.00504,-5674.840528,5606.835488,2025-08-26;140108
628415736,-100,60.979,-675.0022,735.9812,2025-08-26;140132
628415801,-4164,707.00506,-6516.752108000001,7223.757168,2025-08-26;140116
628415848,-1206,-24.37326,-5999.876531999999,5975.503272,2025-08-26;140121
628416021,-300,147.937,-4615.5066,4763.4436,2025-08-26;140130
628416043,-1,-16.956877,-906.226689,889.269812,2025-08-26;140136
629159497,-502,-50.11542,-6588.571044,6538.455624,2025-08-28;140047
629159508,-700,-27.147,-759.5154,732.3684000000001,2025-08-28;140052
629159520,-5323,-415.82783,-6083.822106,5667.994275999999,2025-08-28;140101
629159532,-883,-185.61543,-8030.904426,7845.288996,2025-08-28;140106
629159542,-165,-25.734650000000002,-5378.35363,5352.61898,2025-08-28;140121
629159765,-213,-36.25523,-4938.409686,4902.154456,2025-08-28;140056
629159799,-100,-5.021,-439.0022,433.9812,2025-08-28;140131
629159870,-756,-48.078759999999996,-6424.7966320000005,6376.717872,2025-08-28;140125
629160147,-5,107.89895,-4480.15011,4588.04906,2025-08-28;140139
629160685,-99,177.16921,-5066.832178,5244.001388,2025-08-28;140324
629178255,-1400,-53.294,-1519.0308,1465.7368000000001,2025-08-28;144122
629551795,-73,11.12467,-6376.091606,6387.216276,2025-08-29;140013
629552092,-6,147.45874,-5477.020132,5624.478872,2025-08-29;140023
629552229,-794,-39.86674,-5966.927468,5927.060728,2025-08-29;140018
629564203,-5700,311.15626,-1606.39214,1917.5484000000001,2025-08-29;143116
629997485,-251,3.45729,-5795.850522,5799.307812,2025-09-02;140030
629997555,-2188,-350.53948,-7472.068136,7121.5286559999995,2025-09-02;140035
629997925,-50,47.9895,-4847.5011,4895.4906,2025-09-02;140051
629997986,-133,-112.41793,-5013.772926,4901.354996,2025-09-02;140045
629998056,-7691,4689.89489,-6652.884202,11342.779092,2025-09-02;140054
629998303,-200,9.958,-435.0044,444.9624,2025-09-02;140105
629998361,-116,-34.50436,-6149.002552,6114.498192,2025-09-02;140100
629998376,-168,-55.79528,-5471.083696,5415.288416,2025-09-02;140113
629998567,-275,-52.30775,-4731.38105,4679.0733,2025-09-02;140109
630001427,-207,-52.72347,-6146.799554,6094.076084,2025-09-02;140806
631201165,-40,-499.2084,-6995.80088,6496.59248,2025-09-08;140001
631201317,-17,-33.45357,-4590.660374,4557.206804,2025-09-08;140011
631201379,-179,-18.14759,-6192.613938,6174.466348,2025-09-08;140006
631201814,-113,-711.7937300000001,-4921.022486,4209.2287559999995,2025-09-08;140014
631201895,-82,21.861681,-5626.102903,5647.964584,2025-09-08;140020
631991041,-54,-173.73134,-4853.441188,4679.709848,2025-09-10;140040
631991043,-243,8.23897,-5990.170346,5998.409316,2025-09-10;140044
631991125,-5,111.59895,-4530.75011,4642.34906,2025-09-10;140036
631991177,-4503,179.17436999999998,-4975.914066,5155.088436,2025-09-10;140058
631991199,-2807,-169.00947,-6049.146753999999,5880.137284,2025-09-10;140021
631991259,-1265,-392.41565,-5496.45283,5104.037179999999,2025-09-10;140030
631991339,-67,8.70593,-4837.061474,4845.767404,2025-09-10;140053
631991349,-301,-2.08321,-5121.521621999999,5119.4384119999995,2025-09-10;140107
