CurrencyPrimary,IBCommission,Open/CloseIndicator,CostBasis,FifoPnlRealized,LevelOfDetail,trade_date
USD,-1.0376,C,-236.984169,45.978231,EXECUTION,2025-09-25
USD,-0.5188,C,-118.492085,22.989115,EXECUTION,2025-09-25
USD,-3.1128,C,-710.952508,137.934692,EXECUTION,2025-09-25
USD,-0.5188,C,-118.492085,22.989115,EXECUTION,2025-09-25
USD,-0.5188,C,-118.492085,22.989115,EXECUTION,2025-09-25
USD,-0.5188,C,-118.492085,22.989115,EXECUTION,2025-09-25
USD,-1.0376,C,-236.984169,45.978231,EXECUTION,2025-09-25
USD,-1.5564,C,-355.476254,68.967346,EXECUTION,2025-09-25
USD,-1.0376,C,-236.984169,45.978231,EXECUTION,2025-09-25
USD,-0.5188,C,-118.492085,22.989115,EXECUTION,2025-09-25
USD,-1.0376,C,-236.984169,45.978231,EXECUTION,2025-09-25
USD,-0.5188,C,-118.492085,22.989115,EXECUTION,2025-09-25
USD,-0.5188,C,-118.492085,22.989115,EXECUTION,2025-09-25
USD,-0.5188,C,-118.492085,22.989115,EXECUTION,2025-09-25
USD,-0.5188,C,-118.492085,22.989115,EXECUTION,2025-09-25
USD,-0.5188,C,-118.492085,22.989115,EXECUTION,2025-09-25
USD,-2.594,C,-592.460423,114.945577,EXECUTION,2025-09-25
USD,-1.0376,C,-236.984169,45.978231,EXECUTION,2025-09-25
USD,-1.5564,C,-355.476254,68.967346,EXECUTION,2025-09-25
USD,-1.0376,C,-236.984169,45.978231,EXECUTION,2025-09-25
USD,-0.5188,C,-118.492085,22.989115,EXECUTION,2025-09-25
USD,-0.5188,C,-118.492085,22.989115,EXECUTION,2025-09-25
USD,-1.0376,C,-236.984169,45.978231,EXECUTION,2025-09-25
USD,-0.741884,C,-169.443681,32.874435,EXECUTION,2025-09-25
USD,-15.0452,C,-1258.577028,234.377772,EXECUTION,2025-09-10
USD,-0.5188,C,-43.258888,8.382312,EXECUTION,2025-09-10
USD,-0.5188,C,-43.258888,8.222312,EXECUTION,2025-09-10
USD,-2.594,C,-216.292852,41.113148,EXECUTION,2025-09-10
USD,-0.5188,C,-43.2146,8.2666,EXECUTION,2025-09-10
USD,-0.5188,C,-43.24876,8.23244,EXECUTION,2025-09-10
USD,-1.5564,C,-129.3182,25.1254,EXECUTION,2025-09-10
USD,-1.0376,C,-86.2524,16.71,EXECUTION,2025-09-10
USD,-2.594,C,-215.631,42.125,EXECUTION,2025-09-10
USD,-2.594,C,-215.631,42.125,EXECUTION,2025-09-10
USD,-2.594,C,-215.631,42.225,EXECUTION,2025-09-10
USD,-0.5188,C,-43.1262,8.615,EXECUTION,2025-09-10
USD,-2.594,C,-215.631,42.225,EXECUTION,2025-09-10
USD,-2.594,C,-215.631,42.225,EXECUTION,2025-09-10
USD,-18.158,C,-1508.87278,295.41922,EXECUTION,2025-09-10
USD,-4.6692,C,-387.5652,75.7656,EXECUTION,2025-09-10
USD,-0.5188,C,-43.0628,8.5084,EXECUTION,2025-09-10
USD,-4.1504,C,-344.5024,68.0672,EXECUTION,2025-09-10
USD,-3.1128,C,-258.3768,51.0504,EXECUTION,2025-09-10
USD,-0.5188,C,-43.0628,8.5084,EXECUTION,2025-09-10
USD,-0.5188,C,-43.0628,8.5084,EXECUTION,2025-09-10
USD,-0.5188,C,-43.0628,8.7484,EXECUTION,2025-09-10
USD,-2.594,C,-215.314,42.542,EXECUTION,2025-09-10
USD,-0.5188,C,-43.0628,8.5084,EXECUTION,2025-09-10
USD,-2.594,C,-215.314,42.642,EXECUTION,2025-09-10
USD,-15.621068,C,-1296.620908,268.231924,EXECUTION,2025-09-10
USD,-2.594,C,-215.35655,42.59945,EXECUTION,2025-09-10
USD,-1.0188,C,-711.5022,72.479,EXECUTION,2025-09-23
USD,-0.0188,C,-711.5022,73.479,EXECUTION,2025-09-23
